timestamp,index,memory_used_mib,memory_free_mib,utilization_gpu_pct,power_w,sm_clock_mhz
2026/08/30 00:59:01.609, 0, 22757, 1370, 100, 151.73, 1650
2026/08/30 00:59:01.626, 1, 22733, 1394, 100, 158.16, 1650
2026/08/30 00:59:01.643, 2, 22733, 1394, 100, 156.83, 1650
2026/08/30 00:59:01.659, 3, 22733, 1394, 100, 168.43, 1650
2026/08/30 00:59:02.894, 0, 22757, 1370, 100, 150.90, 1650
2026/08/30 00:59:02.924, 1, 22733, 1394, 100, 157.82, 1650
2026/08/30 00:59:02.957, 2, 22733, 1394, 100, 156.60, 1650
2026/08/30 00:59:02.992, 3, 22733, 1394, 100, 168.41, 1650
2026/08/30 00:59:04.204, 0, 22757, 1370, 100, 150.74, 1650
2026/08/30 00:59:04.218, 1, 22733, 1394, 100, 157.14, 1650
2026/08/30 00:59:04.231, 2, 22733, 1394, 100, 157.15, 1650
2026/08/30 00:59:04.246, 3, 22733, 1394, 100, 168.49, 1650
2026/08/30 00:59:05.445, 0, 22757, 1370, 79, 150.23, 1650
2026/08/30 00:59:05.464, 1, 22733, 1394, 62, 156.20, 1650
2026/08/30 00:59:05.482, 2, 22733, 1394, 100, 156.43, 1650
2026/08/30 00:59:05.498, 3, 22733, 1394, 100, 167.73, 1650
2026/08/30 00:59:06.730, 0, 22757, 1370, 70, 152.14, 1650
2026/08/30 00:59:06.745, 1, 22733, 1394, 71, 158.21, 1650
2026/08/30 00:59:06.758, 2, 22733, 1394, 71, 157.99, 1650
2026/08/30 00:59:06.772, 3, 22733, 1394, 100, 169.50, 1650
2026/08/30 00:59:07.971, 0, 22757, 1370, 100, 151.70, 1650
2026/08/30 00:59:07.986, 1, 22733, 1394, 75, 157.74, 1650
2026/08/30 00:59:07.998, 2, 22733, 1394, 75, 157.94, 1650
2026/08/30 00:59:08.012, 3, 22733, 1394, 100, 168.87, 1650
2026/08/30 00:59:09.226, 0, 22757, 1370, 100, 153.38, 1650
2026/08/30 00:59:09.242, 1, 22733, 1394, 100, 159.88, 1650
2026/08/30 00:59:09.253, 2, 22733, 1394, 100, 159.33, 1650
2026/08/30 00:59:09.262, 3, 22733, 1394, 100, 170.94, 1650
2026/08/30 00:59:10.467, 0, 22757, 1370, 100, 153.23, 1650
2026/08/30 00:59:10.481, 1, 22733, 1394, 100, 159.62, 1650
2026/08/30 00:59:10.495, 2, 22733, 1394, 100, 159.48, 1650
2026/08/30 00:59:10.509, 3, 22733, 1394, 100, 170.77, 1650
2026/08/30 00:59:11.701, 0, 22757, 1370, 100, 153.48, 1650
2026/08/30 00:59:11.715, 1, 22733, 1394, 100, 159.24, 1650
2026/08/30 00:59:11.730, 2, 22733, 1394, 100, 159.41, 1650
2026/08/30 00:59:11.744, 3, 22733, 1394, 100, 171.27, 1650
2026/08/30 00:59:12.935, 0, 22757, 1370, 100, 153.03, 1650
2026/08/30 00:59:12.954, 1, 22733, 1394, 100, 159.28, 1650
2026/08/30 00:59:12.971, 2, 22733, 1394, 100, 159.06, 1650
2026/08/30 00:59:12.988, 3, 22733, 1394, 100, 170.56, 1650
2026/08/30 00:59:14.189, 0, 22757, 1370, 100, 152.84, 1650
2026/08/30 00:59:14.201, 1, 22733, 1394, 100, 159.58, 1650
2026/08/30 00:59:14.214, 2, 22733, 1394, 100, 159.69, 1650
2026/08/30 00:59:14.229, 3, 22733, 1394, 100, 170.47, 1650
2026/08/30 00:59:15.436, 0, 22757, 1370, 100, 153.29, 1650
2026/08/30 00:59:15.451, 1, 22733, 1394, 100, 159.95, 1650
2026/08/30 00:59:15.464, 2, 22733, 1394, 100, 159.29, 1650
2026/08/30 00:59:15.479, 3, 22733, 1394, 100, 170.59, 1650
2026/08/30 00:59:16.689, 0, 22757, 1370, 100, 153.27, 1650
2026/08/30 00:59:16.702, 1, 22733, 1394, 100, 159.95, 1650
2026/08/30 00:59:16.717, 2, 22733, 1394, 100, 160.15, 1650
2026/08/30 00:59:16.730, 3, 22733, 1394, 100, 170.54, 1650
2026/08/30 00:59:17.939, 0, 22757, 1370, 80, 154.05, 1650
2026/08/30 00:59:17.953, 1, 22733, 1394, 97, 160.12, 1650
2026/08/30 00:59:17.968, 2, 22733, 1394, 75, 159.78, 1650
2026/08/30 00:59:17.980, 3, 22733, 1394, 75, 171.15, 1650
2026/08/30 00:59:19.191, 0, 22757, 1370, 100, 154.76, 1650
2026/08/30 00:59:19.203, 1, 22733, 1394, 100, 161.37, 1650
2026/08/30 00:59:19.212, 2, 22733, 1394, 100, 161.21, 1650
2026/08/30 00:59:19.221, 3, 22733, 1394, 100, 171.01, 1650
2026/08/30 00:59:20.418, 0, 22757, 1370, 100, 154.73, 1650
2026/08/30 00:59:20.435, 1, 22733, 1394, 100, 161.43, 1650
2026/08/30 00:59:20.448, 2, 22733, 1394, 100, 161.02, 1650
2026/08/30 00:59:20.459, 3, 22733, 1394, 100, 172.15, 1650
2026/08/30 00:59:21.648, 0, 22757, 1370, 100, 154.20, 1650
2026/08/30 00:59:21.664, 1, 22733, 1394, 100, 161.78, 1650
2026/08/30 00:59:21.680, 2, 22733, 1394, 100, 161.54, 1650
2026/08/30 00:59:21.697, 3, 22733, 1394, 100, 170.95, 1650
2026/08/30 00:59:22.916, 0, 22757, 1370, 100, 154.72, 1650
2026/08/30 00:59:22.933, 1, 22733, 1394, 100, 160.86, 1650
2026/08/30 00:59:22.948, 2, 22733, 1394, 100, 160.61, 1650
2026/08/30 00:59:22.965, 3, 22733, 1394, 100, 171.26, 1650
2026/08/30 00:59:24.166, 0, 22757, 1370, 100, 154.48, 1650
